Date,User_Base_(Number_of_Users),Average_Time_Spent_(in_minutes),Content_Completion_Rate_(%),Student_Test_Score_Improvement_(%),Student_Satisfaction_(%),Revenue_Growth_(Year-over-Year_%),Funding_Round_Amount_(in_millions_USD),Market_Share_(%),Social_Media_Sentiment_Score,News_Article_Sentiment_Score,Number_of_Courses_Offered,Regional_Performance_Score,Focus_on_Adaptive_Learning_(Yes/No),Expert_Faculty_(Yes/No),Countries_of_Operation,Strategic_Partnerships_(Yes/No),Government_Initiatives_(Yes/No),Byju's_Future_Plans,Market_Size_(in_millions_USD)
20-01-2015,1325101.165,27.99529532,83.44008139,37.95118724,92.69726657,33.59093527,45.80989386,41.91139176,0.755685698,0.838963536,117.7495245,1.002585533,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE, Brazil ", Yes                          ,No, Acquire competitor ,543.4860209
21-01-2015,1186428.536,20.51004856,84.68315637,19.13641962,84.32921909,26.55398155,57.3055854,38.63655914,0.935707619,1.023594258,145.208391,0.885168415, Yes                               , Yes                   ," India, USA             ", Yes                          ,No,Interactive learning,544.9637638
22-01-2015,1436467.091,21.65446844,82.95841414,34.73016581,88.81495806,44.84692911,14.95176022,34.88185124,0.843829414,0.632690203,126.6547313,0.957383445, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Expand to Africa   ,531.7782032
23-01-2015,1555542.174,27.94694703,88.95185812,28.21155839,97.75191841,42.4363946,125.8459458,39.1608336,0.962950072,1.013816442,138.9692797,0.909336246,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Launch new feature,529.8054152
24-01-2015,1439998.088,25.03502714,92.10173636,19.73769619,92.70641311,36.37601711,64.03225862,38.40273698,0.905564323,0.982278408,112.2148566,0.963823201, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Dynamic learning trials,625.4208181
25-01-2015,1240873.583,29.03206496,98.53066446,19.89906063,90.05766568,48.08711002,69.2592698,40.43543193,0.849631263,0.657270633,126.0950234,0.862301612, Yes                               ,No," India, USA, UK         ", Yes                          , Yes                         , Acquire smaller startup,596.3227873
26-01-2015,1407610.889,26.71309904,95.61942398,33.04425088,91.02537764,28.71703812,65.56735024,40.6010466,0.889300716,0.807911881,118.6411348,0.898907946, Yes                               ,No," India, USA, UK, Australia ", Yes                          , Yes                         ,Greedy gamification,585.3995264
27-01-2015,1391615.636,22.66381225,94.82588449,19.52896596,87.62205574,46.8507339,99.06152001,36.76030065,0.904744828,0.760270315,140.7683246,0.908309327, Yes                               , Yes                   ," India, USA, UK, Australia ",No, Yes                         , Launch AI tutor    ,569.3293101
28-01-2015,1189856.97,27.42844461,92.4546908,28.11788599,91.22057627,37.36924438,85.04298512,38.02745359,0.756298147,0.667189607,139.1951316,0.889681661, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Expand to Africa   ,603.3884786
29-01-2015,1029575.118,26.02408477,86.51557419,34.68999837,95.46515975,18.69827775,62.57452045,44.06626304,0.953154961,0.665234733,119.4488994,0.93309502, Yes                               , Yes                   ," India, USA, UK, Australia ",No, Yes                         , Expand to Asia     ,553.7663939
30-01-2015,1528985.44,26.33500468,92.64196639,37.38987423,96.37845274,48.24351793,53.12039914,39.16949779,0.871262506,0.729210076,127.8379399,0.888275731, Yes                               ,No," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Launch new feature,515.4916322
31-01-2015,1347355.229,33.591938,93.88805784,18.8382143,88.88818205,31.05977568,115.7535536,43.13011922,0.895529716,0.825125063,91.17070564,0.942580228,No,No," India, USA, UK, Australia ", Yes                          , Yes                         ,Interactive learning,514.7921621
01-02-2015,1168228.78,25.16178733,98.79737751,14.1046362,94.6257144,59.35640535,69.95027282,42.3311181,0.872009678,0.711782714,107.7399321,0.972250388,No, Yes                   ," India, USA, UK, Australia ",No, Yes                         , Expand to Africa   ,578.7962467
02-02-2015,1299084.236,17.72829831,92.03782741,23.40832691,84.10683529,38.70456333,119.1934606,28.7064119,0.914933421,0.641238786,126.6327426,0.845972128, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Launch new feature,595.1230128
03-02-2015,1321945.614,26.65503227,91.78129888,27.20364026,84.83864269,40.74507258,86.23490405,41.58111902,0.833212045,0.853483439,109.3202343,0.861404876, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No, Acquire competitor ,617.5746638
04-02-2015,1294640.366,25.16523022,92.22017444,33.50359373,90.469891,43.18955183,113.2021553,38.39708622,0.803063913,0.732539801,169.6053717,0.916093572, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                        , Expand to Europe   ,590.2280581
05-02-2015,1440314.628,19.82873851,93.36801827,29.27741385,96.48561417,27.64678968,74.651109,37.11683958,0.931772267,0.862988327,129.0956955,0.921044371,No, Yes                   ," India, USA, UK, Australia ", Yes                          ,No,Interactive learning,554.6406409
06-02-2015,1308316.65,30.3355033,85.53621185,21.98686016,84.34818496,59.72342608,67.45969598,36.50007894,0.916932761,0.81406252,124.9222667,0.821009659, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Interactive learning,608.1841503
07-02-2015,1265801.737,27.75443602,85.92818391,22.47593739,91.57357178,28.72922724,90.41700774,35.7865607,0.868279191,0.858677468,144.7449659,0.951989386, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No, Expand to Africa   ,477.890654
08-02-2015,1341893.025,27.42100491,91.46694797,21.17029149,93.34536518,27.61054926,77.35646662,36.212744,0.949326534,0.690623634,128.2141294,0.867639174, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE, Brazil ",No, Yes                         , Partner with schools,582.8768515
09-02-2015,1221784.09,28.51715228,86.85123848,22.1022046,86.79352223,68.40574691,72.43956596,35.75205318,0.750899712,0.742652543,164.8550052,0.914114949, Yes                               , Yes                   ," India, USA, UK         ",No, Yes                         , Acquire smaller startup,627.0648131
10-02-2015,1207752.911,29.03028189,94.55052928,20.70724024,87.69300297,44.56916452,91.75609623,33.75399098,0.914852487,0.800447896,118.4239098,0.893385673, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Expand to Europe   ,577.7290068
11-02-2015,1473787.634,24.45528041,92.71239228,37.118687,82.75580626,40.84085057,105.2612115,36.85108159,0.829471383,0.74316126,87.98727494,0.973658335, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Partner with schools,522.2956586
12-02-2015,1242018.143,24.99835689,99.94099787,28.27658394,92.42694925,33.97683092,81.95946045,33.67425065,0.994985009,0.702921687,137.2633919,0.943570217, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Acquire competitor ,595.4460995
13-02-2015,1069460.272,27.15711379,89.42790189,27.63233277,88.8966606,43.37670982,78.73075522,35.26250747,0.845428219,0.707296315,160.6244337,0.880813943, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Acquire competitor ,522.2004698
14-02-2015,1431634.761,23.79309202,93.8419465,20.2162939,86.24877204,47.30862836,63.50341447,40.83892705,0.90288676,0.704235947,152.157441,0.884761676,No, Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Expand to Asia     ,497.3301746
15-02-2015,1113851.697,22.8634435,85.0043628,20.01577982,92.42946761,50.93085681,120.6451182,34.99243526,0.935614201,0.735256185,150.7055617,0.927694415,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Enter Middle East  ,564.8255689
16-02-2015,1224765.133,19.73258887,88.60401626,23.37498787,96.13270134,61.40139362,101.9966639,32.39246329,1.063562406,0.736175978,133.8109557,0.83079364,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Expand to Africa   ,609.9331194
17-02-2015,1171901.164,22.66456653,95.95796366,13.11339539,92.10552817,44.33644194,78.56525433,31.79655532,0.876240124,0.792961641,134.7360139,0.932845659,No, Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         ,Greedy gamification,550.7273281
18-02-2015,1273440.837,16.16836399,93.98437873,7.58291496,87.57115573,24.70872729,69.77209409,39.11769466,0.948589599,0.621861937,134.926531,0.827097097,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                        ,Greedy gamification,506.5916791
19-02-2015,1493728.151,29.69019406,90.84848812,26.37096651,94.54771814,44.99126291,104.4936115,36.08206005,1.000830817,0.872140426,149.7691298,0.91027957,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No, Launch new app     ,557.0830391
20-02-2015,1533256.965,27.49831803,87.75578775,18.64354174,85.16684614,32.18873738,109.4915144,35.78034572,0.870866705,0.908438075,89.47965623,0.840398233,No, Yes                   ," India, USA, UK, Australia ", Yes                          ,No, Expand to Europe   ,540.652416
21-02-2015,1412079.921,26.86512983,91.30613693,9.545248604,89.12650498,29.9629579,78.66672619,38.18607504,0.892730586,0.587407999,203.2868135,0.906536415,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No, Expand to Africa   ,522.3286552
22-02-2015,1067735.429,22.32303185,83.72665165,26.80113809,100.2094213,21.93288059,77.16086074,34.38220259,0.853285311,0.587942967,142.38688,0.949717908, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Interactive learning,674.7886857
23-02-2015,1396369.692,32.07224323,86.02112708,17.4258706,93.37987395,57.58961365,60.37326503,37.55380969,0.911349723,0.774719067,136.7046232,0.96958966, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Launch new app     ,659.3782002
24-02-2015,1334326.04,30.50223231,86.87748653,51.19250316,91.96578078,38.79346283,109.9029444,35.18658538,0.90787734,0.774058697,107.100047,0.885381251,No, Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         ,Dynamic learning trials,554.3210073
25-02-2015,1454181.334,19.77479685,88.46299335,34.30106689,91.08189511,55.24061762,77.14596006,32.20617595,0.775473023,0.848394916,149.1586634,0.933571105, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Launch AI tutor    ,610.2599256
26-02-2015,1208921.798,22.79630509,92.40812569,22.05649122,97.15171283,54.86138477,112.1321675,36.11599744,0.993703917,0.946307752,153.2025427,0.989427728, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Enter Middle East  ,494.5679255
27-02-2015,1523726.061,20.24306221,85.31999546,28.10119039,92.99722906,42.17782777,105.2106261,35.26504641,0.905237972,0.739583989,119.3311176,0.97824628, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Launch new app     ,551.6334303
28-02-2015,972004.3839,21.83127616,89.38404221,31.47220112,100.0893245,28.44156047,131.8614219,40.22512511,0.999717306,0.534128518,163.7522296,0.89153035, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No, Expand to Asia     ,582.3822074
01-03-2015,1296567.985,28.78217178,99.28153365,20.64058935,92.97341432,27.20361909,109.7308306,38.63222495,0.773752261,0.787387501,149.6209806,0.745722768, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Greedy gamification,581.6078879
02-03-2015,1111236.858,32.08579762,93.04843916,28.28290578,85.40416666,40.89826858,94.74237449,37.46509877,0.835719604,0.731885528,120.830612,0.986390529,No, Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Expand to Europe   ,588.6726332
03-03-2015,1241317.935,24.59588309,87.37063324,15.30051865,87.07954343,43.09373145,91.90184839,31.80624897,0.972325822,0.715893771,122.2417042,0.970355299,No, Yes                   ," India, USA             ", Yes                          , Yes                         , Partner with schools,598.6581934
04-03-2015,1262619.183,24.04219964,83.95389142,29.31263946,96.0041324,41.21856499,83.71198327,33.86539443,0.801426848,0.775744421,102.6349429,0.957163552,No, Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Launch AI tutor    ,526.7355332
05-03-2015,1238151.246,30.69362037,90.87317337,23.42473448,94.27679885,23.23753804,90.83750811,36.69457038,0.894715,0.599913103,146.3767898,0.888748786, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No, Launch AI tutor    ,591.968043
06-03-2015,1533619.683,21.2488647,77.66236807,23.47725501,90.84879559,35.85820957,56.10237801,42.98246983,0.929521556,0.795953935,130.3815686,0.934022096,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Launch new feature,619.9065493
07-03-2015,1046586.094,23.86617271,100.8662408,18.04312881,92.41628247,42.4082938,107.5140153,35.422909,0.973571901,0.665917819,103.6838677,0.826413866, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                        , Expand to Europe   ,594.1659797
08-03-2015,1306559.243,27.04105422,94.97268379,20.11523753,93.20309137,45.81373373,98.61036055,34.5855456,0.830806704,0.82983019,168.0936901,0.915315516, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Launch new feature,572.820916
09-03-2015,1394127.842,35.92663523,92.04759198,23.92591435,88.58904103,47.77350408,107.7980094,38.58025753,0.966891534,0.533570419,133.8988966,0.870923804, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Acquire smaller startup,614.2978609
10-03-2015,1153516.215,21.67217151,87.65475001,30.29177652,91.56246278,56.73078812,61.17032939,30.98404752,0.761851114,0.57457237,118.9117954,0.895336923,No, Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          ,No, Expand to Europe   ,648.6498511
11-03-2015,1093794.3,18.66573741,91.4427468,24.30983449,98.71614283,49.20184172,74.90314118,33.58635902,0.990533338,0.723867463,113.1289082,0.972440608, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE, Brazil ",No, Yes                         , Enter Middle East  ,651.7989837
12-03-2015,1153689.936,30.79173704,93.83676699,30.41195408,91.04386421,37.61140414,117.0347767,34.13932149,0.869426277,0.845853341,140.2727896,0.980662546, Yes                               ,No," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Expand to Europe   ,553.5615707
13-03-2015,1342677.786,27.25678476,101.3521099,29.00428051,93.72167815,37.53477957,100.1574357,42.25413029,1.016020788,0.805012658,132.8357876,0.958733755,No,No," India, USA, UK         ", Yes                          , Yes                         ,Interactive learning,590.7103973
14-03-2015,1323781.187,29.9054675,102.3125486,8.163617172,87.25331311,45.37601408,73.26838871,40.66552183,0.870060055,0.54736079,147.8401451,1.002529797,No, Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          ,No, Acquire competitor ,597.1759877
15-03-2015,1240819.829,22.76103864,92.67426471,25.41893491,95.74606584,61.36861083,72.69286426,37.85408319,1.069595209,0.712689809,108.0249209,0.922764648,No, Yes                   ," India, USA             ", Yes                          , Yes                         ,Dynamic learning trials,551.0403911
16-03-2015,1634146.486,23.91509324,90.36782136,14.9699813,86.58350178,43.09743558,76.87466976,42.07719718,0.976031909,0.8637729,125.6129012,1.015612472, Yes                               , Yes                   ," India, USA, UK, Australia ",No, Yes                         , Launch new feature,611.5050507
17-03-2015,1216846.498,34.11157644,95.03048715,37.364263,95.62782802,59.61888096,88.66108671,27.67755072,1.000146642,0.835806181,133.5198764,0.917508586, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Enter Middle East  ,604.3383307
18-03-2015,1220960.272,31.76855328,88.19850847,29.59117551,95.48109751,40.06278767,113.1908334,40.58589154,0.927011629,0.629815814,73.68759979,0.935019762, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Dynamic learning trials,611.8275324
19-03-2015,1351669.939,23.07083208,87.008322,24.74645324,93.04530418,43.4663046,108.050895,37.57267671,0.806808253,0.723794348,125.1042616,0.842551707,No, Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Expand to Asia     ,566.0766043
20-03-2015,1496320.836,23.81169484,103.7780031,29.79940757,85.47208833,34.82510765,49.18784343,32.52894094,0.83581346,0.716092985,101.2010645,0.864648514, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Interactive learning,579.9089681
21-03-2015,1325544.082,24.98815812,97.16347476,20.1785499,90.61541305,38.6312845,80.98797719,41.66416805,0.982744597,0.622431873,117.2011236,0.976945301, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Partner with schools,537.6743964
22-03-2015,1357091.981,28.31759728,92.79390592,21.31700691,91.18901573,31.94290315,84.41002266,34.24097207,0.895108801,0.972652383,150.8226515,0.864702283, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Interactive learning,608.5953996
23-03-2015,1346549.533,40.08710386,93.08278786,31.50094144,87.01839386,47.11986657,51.08370818,36.68153245,0.85475007,0.876293958,138.6293278,0.871555997,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE, Brazil ", Yes                          , Yes                         , Expand to Africa   ,613.7044688
24-03-2015,1395875.65,26.6923738,87.57567476,18.18198833,89.07990403,49.16611121,121.1736125,41.39273311,1.006719192,0.90004822,130.0062916,0.974902245,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Acquire competitor ,568.061462
25-03-2015,1508279.901,24.27533516,92.24155226,26.85937376,96.0548853,31.90185255,57.74421647,31.2554024,0.86527063,0.842207364,138.4108296,0.963903473, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE, Brazil ", Yes                          , Yes                        ,Dynamic learning trials,650.7840159
26-03-2015,1563092.87,27.19769993,82.18267766,35.68614709,96.73698624,50.79293723,96.40306903,33.89307506,0.861759775,0.887522888,117.6430504,0.901217398, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE, Brazil ", Yes                          , Yes                         , Expand to Asia     ,568.0152099
27-03-2015,1470058.66,27.11749679,90.09413986,21.52223382,96.99620214,66.94030868,77.86572399,42.49993368,0.870572314,0.765620116,168.6443446,0.838417861,No, Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         ,Interactive learning,596.7294322
28-03-2015,1276907.527,27.56370179,87.10774718,24.20785103,84.37371437,42.73266779,94.86450275,41.81017808,1.067916811,0.714147334,139.5376358,1.040408635, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Launch AI tutor    ,612.5083638
29-03-2015,1365010.441,31.3624106,90.67067545,20.29934927,88.32344148,35.25852528,83.40201028,32.8174555,0.929132346,0.844491142,125.4139284,0.945998415, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         ,Dynamic learning trials,567.8590856
30-03-2015,1394589.28,23.71019989,86.26637116,31.87135425,93.78389111,58.39862,75.26262536,47.60589398,0.855141363,0.568017451,131.3865715,1.027367782, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ",No, Yes                         , Launch new app     ,624.4501565
31-03-2015,1006308.286,23.15855973,99.85119184,14.63356152,90.20789167,52.8619444,99.54490742,32.9631009,0.920484368,0.71509805,144.7370347,1.010039763,No, Yes                   ," India, USA, UK, Australia ",No, Yes                         ,Interactive learning,587.8775591
01-04-2015,1406430.958,30.35465736,87.91124262,22.23018624,89.3898661,42.4808909,99.13405038,38.68136965,0.82655364,0.655309321,114.7058385,0.913308429, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Enter Middle East  ,533.4207392
02-04-2015,1428390.741,25.77739894,93.48472114,20.92506063,93.69006855,60.76519372,73.36524045,36.01035142,0.893063317,0.63345947,116.1883452,1.004133775, Yes                               , Yes                   ," India, USA, UK         ",No, Yes                         , Enter Middle East  ,520.0090552
03-04-2015,1114896.559,27.91985913,76.91342504,12.44566126,90.09397895,40.43720715,109.4545896,39.59870203,0.96028282,0.692776509,162.3296023,0.904491931, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         ,Interactive learning,672.4726012
04-04-2015,1208428.146,27.27237526,94.2844785,20.69792516,86.63024307,45.91647134,64.45340934,36.96441301,1.02020118,0.859061548,115.9530995,0.895208794, Yes                               , Yes                   ," India, USA, UK, Australia ",No, Yes                         ,Interactive learning,608.9356281
05-04-2015,1185908.927,26.6131418,83.48282297,28.92253773,91.46293573,40.15964081,39.62890467,37.77428158,0.970888787,0.966680169,107.872191,0.836437663,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE, Brazil ", Yes                          , Yes                         , Acquire competitor ,581.0967248
06-04-2015,1130453.868,18.72876784,91.6064635,35.46045406,88.94414296,28.07504608,88.86707395,38.24549415,0.701008754,0.753891734,116.6947818,0.882202269, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No, Partner with schools,567.7955982
07-04-2015,1152484.964,30.5576008,94.83160017,26.27922098,88.73710193,51.36066447,63.78688408,38.48957331,1.032429595,0.989191755,131.5960873,0.971001579, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Enter Middle East  ,607.7170523
08-04-2015,1343262.043,20.9686118,80.21468411,31.56873646,90.58458482,42.74932095,61.52410512,34.98154638,0.825840954,0.85475585,142.4052501,0.842536927, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Dynamic learning trials,578.8295365
09-04-2015,1535512.102,31.34625943,95.87907022,23.73466671,84.28626128,32.34168979,98.35173466,36.57628223,0.970612938,0.755913126,110.7048857,0.900607856, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Partner with schools,564.0582148
